Id,Title,Price,Distance,Time,EstimationMusic,Popularity,Category
567275,VWZ Benefiz Dartborussen Soest,0,380.4999281225361,1288,806,1,Professional services
567323,A ANNO NOX - EIN JAHR NOX,0,476.0996547654032,1253,999,5,none
567634,PUHDYS | Taucha,0,95.13155146093152,1177,7,5,none
567420,"NOCHE DE SALSA , COCTELES Y TAPAS “",0,470.86102408775054,1300,1000,74,Arts/entertainment/nightlife
567669,THREE BALL EDDY liveim SAILOR´s PUB !!,0,470.9204431288192,1051,1000,731,none
568065,100blumen @ The Tube,0,486.37585381611206,1393,894,609,none
567916,"Konzert, Köln",0,476.09911867305,951,876,1152,none
568116,Kultur im Hof - Free Bears,0,479.1981159475118,890,0,10,Artist
567730,Bergisches Quintett,0,465.7900326406928,863,1000,160,Event planning/event services
568021,Ü35 Party in Zwickau,0,94.41607876278474,813,813,51,Restaurant/Cafe
567638,CRD Heimbout am 18.Oktober,7,476.69778068268096,1352,0,4,Amateur Sports Team
567877,Eröffnung des audiosus hörzentrums,0,284.37908418751243,1548,0,6,Health/Medical/Pharmacy
567281,Konzert Jonsdorf,0,-1,1162,292,0,Musician/Band
567572,Open Stage - Gude Session,0,370.4776441479618,1491,1000,164,none
567878,4. Stufenfete - Eher Dichter als Denker?,0,379.5211595639612,1148,1000,129,none
567639,"Benefizkonzert des Libertas Chor, Stellenbosch, Südafrika",0,391.9853915500871,667,0,48,none
567469,ROOFTOP #3,0,258.26923006003364,1372,0,79,none
568225,*SALSA CANTINA* PARTY (Fr.10.10.)  mit Bachata Workshop in der NachtKantine,6,359.9588345231036,1344,1000,11,none
567972,Andre Hartmann Radio Aktiv,0,255.17657541480423,1693,0,2,Event Planning/Event Services
568226,Bei Sonnenuntergang auf dem Lousberg,0,537.7151593851864,1209,0,2,Community Organization
568072,MET Opera Live: Il Trovatore,0,238.4149783840318,1702,992,7,none
567370,Sport Nachmittag mit live Bundesliga und 6 Nations Rugby,0,445.21330386407203,1127,0,76,none
567736,Chilln mit Gott - Studierendengottesdienst,0,537.7224248439211,1577,0,2,Community Organization
568228,Live Casting bei Möbel Rehmann in Velbert,0,469.60765541457624,1161,0,19,none
567644,Radio selbst machen! - Grundkurs,0,4.300367399926306,1070,0,1,none
568122,Neue Konzertreihe 'Blue Sunday' - Kooperation Bayerischer Hof/Jazz Institut,0,359.46841513871436,982,1000,1924,Education
567921,Wechselwelt-Treffen,0,254.86422754146162,975,0,5,none
567976,Festlicher Winterball,0,464.6913913183521,715,973,7,none
567576,Erstiparty des FSRs der Phil Fak I,1,132.40320176208772,969,0,12,University
567836,André Hartmann / Radio-AKTIV,0,361.4494276969116,1450,265,6,none
567525,JazzJam@Milla,0,359.7574723708917,810,1000,17,Education
568076,GUTELAUNEMUSIK-TOUR - Die Arbeitslosen Bauarbeiter live beim Schönherr.FEST in Chemnitz,0,61.69180234222089,883,1000,11,Musician/band
564976,Forschungskolloquium Pop-Musik-Welten,0,359.9796559753775,1026,294,4,University
564789,Semester Closing Party SS 2014,3,298.09183103655175,1273,999,8,none
565029,Große Löwen-Party,0,461.2559883569172,1121,1000,255,Non-profit organization
564689,NBBL Viertelfinale: finke baskets - Piraten Hamburg,0,354.398713582097,1163,0,0,Sports team
565181,30 Jahre PLANTAGE!,0,326.83113349240324,918,1000,22,Local Business
564690,Die RdW-Sommerparty mit Epochal,0,-1,1296,781,75,none
564622,Lounge in the City - AfterWorkParty,0,358.71753735262456,1294,16,37,Political party
564443,R'n'R Stammtisch: 'The Tweedys' (Rock 'n' Roll) !!!,0,100.29374743694805,1104,0,1,Musician/band
564873,Dredner Stadtrundschau,0,2.2263857219808116,648,23,104,Comedian
565033,Saisoneröffnungsfeier,0,91.46168575093158,1548,0,0,Food/Grocery
565240,Eine Bühne für die Götter - Tempelkult & Architektur,0,101.99021934586949,1282,0,1,none
564484,Opening Party @ Reebok CrossFit Augsburg,0,362.1509140441474,643,0,22,none
564874,LES CHAMANES live im Sailor´s Pub !,0,470.9204431288192,580,1000,731,none
564302,Champions League Finale,0,433.77227413672944,841,841,18,Bar
565125,Gegen den Bagida Marsch,0,360.2827511756517,1480,0,4,Cause
565092,Eröffnungskonzert,0,277.15306648042116,623,0,326,Non-profit organization
564532,Kirchweihmontag Feier,0,265.33631220009755,989,925,23,none
564929,Offener Austausch unter Menschen,0,491.98614052741243,1468,0,14,Business services
564446,Die kleine Hexe  AKTIONSTAG!,0,392.75999497131784,1231,0,49,none
564342,Kulubianische Woche,0,190.04798122044699,717,957,1,none
563784,Eiländ,0,463.7009820030601,1178,1000,87,Food/Beverages
563528,Discofox und Boogie-Party,0,515.573665829012,890,0,15,Sports venue
564535,Halloween - Party,0,305.2844556687091,1000,951,26,Musician/Band
565037,3. Deutscher Jugendtanzpreis Jugend tanzt Klassik,0,361.661185828778,876,566,364,Dancer
564552,Konzert der A-capella-Gruppe Vorlaut,0,245.40479301145368,1289,0,0,Non-Profit Organization
564501,TUSSIPARK,0,1.421826486626916,1705,0,207,Actor/director
563593,Faschingsdisco in Langeneck Skiclub -Faschingsdisco,0,323.4423094925096,735,148,170,Restaurant/Cafe
563693,Der musikalische Morgenkreis,0,356.70885020870435,837,0,13,Non-profit organization
565190,Romeo & Julia,0,4.497435613132181,1548,0,31,none
564652,FIESTA SALSERA DE PASCUA mit Dj-JuanPa & Dj-Paulo,3,470.86102408775054,1170,1000,74,none
564750,Live Fußball: Bundesliga,0,239.85941646434972,1156,0,4,Bar
563694,1. Weihnachts-Event 2014,0,262.41359177968735,1379,0,3,Shopping/retail
564637,"Das Klassentreffen - Geschichten, die das Leben schrieb",0,399.61077572240333,1337,381,11,none
563932,Premierenlesung Kati Naumann: Die große weite Welt der Mimi Balu mit musikalischer Begleitung des Mimi Balu Trios,6,100.28489943876403,1537,0,5,Retail and Consumer Merchandise
564638,C-Moon LIVE,0,223.17779558832132,1546,0,11,Arts/Entertainment/Nightlife
564937,Konzert von Fatum am 16. November im Saal von Meiershof,0,498.5678345123784,651,3,14,none
564850,Top Ten,0,456.4947533936587,1582,59,8,none
563835,Stories Around Music - Kurzfilme,0,254.5917589770296,1360,1000,375,none
564542,KORREKT Mode feiert 25-jähriges JUBILÄUM,0,487.3608356342652,807,0,6,Local business
563483,XXL-Freitag im Lighthouse,0,456.4217475785462,1148,806,0,Church/religious organization
565100,TheHouseMOVE,0,481.572262043854,673,0,4,Local business
563888,1. FC Köln - Arminia Bielefeld,0,466.5535098327504,1155,0,8,none
565041,Die Scheibenwischer  -Wir wären dann soweit!-,0,465.7900326406928,366,0,160,Event planning/event services
565132,Tanz in den Mai mit den Blackshoes!,0,479.86761644868506,1546,995,261,Arts/Entertainment/Nightlife
565042,ZUMBA Beach @ Espitas Chill y Beach Zwickau,0,93.33125637310897,867,0,8,none
564498,Jugend Tanzparty: X-mas warm up Party. Heute kommt der Nikolaus.,0,369.39002756958496,1401,993,0,Local business
564545,Jamroulette im Februar,0,439.51514064865404,1461,1000,1226,none
564642,Alles nur Show,0,470.27717458900395,955,0,31,Public Figure
565052,FC Bayern München vs. Hertha BSC Berlin,0,389.47309205683337,1541,0,34,Restaurant/cafe
565198,2. Jahresparty Hanau's Essen & Trinken,0,469.3129611895929,1226,1000,10,Restaurant/Cafe
565044,CLUBABEND!!!,0,13.351708344427808,743,0,40,Non-Profit Organization
563641,Karnevalsparty im Alten Lindenhof,0,464.465011937347,1124,918,10,Restaurant/Cafe
564191,JMD Turnier der Jugendlandesliga III und Landesliga IV,0,500.20771789991795,1184,0,14,none
564001,LIEBLINGSSTÜCKE - eine 10-jährige Retrospektive,0,261.23029409594153,1330,3,2,Arts/Entertainment/Nightlife
